108200, Tunnel alert limit reached, Reserved
108261, Tunnel alert limit reached, Update Bearer Request
108262, Tunnel alert limit reached, Update Bearer Response
108263, Tunnel alert limit reached, Delete Bearer Request
108264, Tunnel alert limit reached, Delete Bearer Response
108265, Tunnel alert limit reached, Delete PDN Connection Set Request
108266, Tunnel alert limit reached, Delete PDN Connection Set Response
108267, Tunnel alert limit reached, PGW Downlink Triggering Notification
108268, Tunnel alert limit reached, PGW Downlink Triggering Acknowledge
108269, Tunnel alert limit reached, For future use
108280, Tunnel alert limit reached, Identification Request
108281, Tunnel alert limit reached, Identification Response
108282, Tunnel alert limit reached, Context Request
108283, Tunnel alert limit reached, Context Response
108284, Tunnel alert limit reached, Context Acknowledge
108285, Tunnel alert limit reached, Forward Relocation Request
108286, Tunnel alert limit reached, Forward Relocation Response
108287, Tunnel alert limit reached, Forward Relocation Complete Notification
108288, Tunnel alert limit reached, Forward Relocation Complete Acknowledge
108289, Tunnel alert limit reached, Forward Access Context Notification
10828a, Tunnel alert limit reached, Forward Access Context Acknowledge
10828b, Tunnel alert limit reached, Relocation Cancel Request
10828c, Tunnel alert limit reached, Relocation Cancel Response
10828d, Tunnel alert limit reached, Configuration Transfer Tunnel
10828e, Tunnel alert limit reached, For future use
108298, Tunnel alert limit reached, RAN Information Relay
108295, Tunnel alert limit reached, Detach Notification
108296, Tunnel alert limit reached, Detach Acknowledge
108297, Tunnel alert limit reached, CS Paging Indication
108299, Tunnel alert limit reached, Alert MME Notification
10829a, Tunnel alert limit reached, Alert MME Acknowledge
10829b, Tunnel alert limit reached, UE Activity Notification
10829c, Tunnel alert limit reached, UE Activity Acknowledge
10829d, Tunnel alert limit reached, ISR Status Indication
10829e, Tunnel alert limit reached, UE Registration Query Request
10829f, Tunnel alert limit reached, UE Registration Query Response
1082a2, Tunnel alert limit reached, Suspend Notification
1082a3, Tunnel alert limit reached, Suspend Acknowledge
1082a0, Tunnel alert limit reached, Create Forwarding Tunnel Request
1082a1, Tunnel alert limit reached, Create Forwarding Tunnel Response
1082a6, Tunnel alert limit reached, Create Indirect Data Forwarding Tunnel Request
1082a7, Tunnel alert limit reached, Create Indirect Data Forwarding Tunnel Response
1082a8, Tunnel alert limit reached, Delete Indirect Data Forwarding Tunnel Request
1082a9, Tunnel alert limit reached, Delete Indirect Data Forwarding Tunnel Response
1082aa, Tunnel alert limit reached, Release Access Bearers Request
1082ab, Tunnel alert limit reached, Release Access Bearers Response
1082ac, Tunnel alert limit reached, For future use
1082b0, Tunnel alert limit reached, Downlink Data Notification
1082b1, Tunnel alert limit reached, Downlink Data Notification Acknowledge
1082b3, Tunnel alert limit reached, PGW Restart Notification
1082b4, Tunnel alert limit reached, PGW Restart Notification Acknowledge
1082b2, Tunnel alert limit reached, Reserved. Allocated in earlier version of the specification.
1082b5, Tunnel alert limit reached, For future use
1082c8, Tunnel alert limit reached, Update PDN Connection Set Request
1082c9, Tunnel alert limit reached, Update PDN Connection Set Response
1082ca, Tunnel alert limit reached, For future use
1082d3, Tunnel alert limit reached, Modify Access Bearers Request
1082d4, Tunnel alert limit reached, Modify Access Bearers Response
1082d5, Tunnel alert limit reached, For future use
1082e7, Tunnel alert limit reached, MBMS Session Start Request
1082e8, Tunnel alert limit reached, MBMS Session Start Response
1082e9, Tunnel alert limit reached, MBMS Session Update Request
1082ea, Tunnel alert limit reached, MBMS Session Update Response
1082eb, Tunnel alert limit reached, MBMS Session Stop Request
1082ec, Tunnel alert limit reached, MBMS Session Stop Response
1082ed, Tunnel alert limit reached, For future use
1082f0, Tunnel alert limit reached, Reserved for Sv interface (see also types 25 to 31)
1082f8, Tunnel alert limit reached, For future use
