104200, Tunnel block limit reached, Reserved
10428a, Tunnel block limit reached, Forward Access Context Acknowledge
10428b, Tunnel block limit reached, Relocation Cancel Request
10428c, Tunnel block limit reached, Relocation Cancel Response
10428d, Tunnel block limit reached, Configuration Transfer Tunnel
10428e, Tunnel block limit reached, For future use
104298, Tunnel block limit reached, RAN Information Relay
104295, Tunnel block limit reached, Detach Notification
104296, Tunnel block limit reached, Detach Acknowledge
104297, Tunnel block limit reached, CS Paging Indication
104299, Tunnel block limit reached, Alert MME Notification
10429a, Tunnel block limit reached, Alert MME Acknowledge
10429b, Tunnel block limit reached, UE Activity Notification
10429c, Tunnel block limit reached, UE Activity Acknowledge
10429d, Tunnel block limit reached, ISR Status Indication
10429e, Tunnel block limit reached, UE Registration Query Request
10429f, Tunnel block limit reached, UE Registration Query Response
1042a2, Tunnel block limit reached, Suspend Notification
1042a3, Tunnel block limit reached, Suspend Acknowledge
1042a0, Tunnel block limit reached, Create Forwarding Tunnel Request
1042a1, Tunnel block limit reached, Create Forwarding Tunnel Response
1042a6, Tunnel block limit reached, Create Indirect Data Forwarding Tunnel Request
1042a7, Tunnel block limit reached, Create Indirect Data Forwarding Tunnel Response
1042a8, Tunnel block limit reached, Delete Indirect Data Forwarding Tunnel Request
1042a9, Tunnel block limit reached, Delete Indirect Data Forwarding Tunnel Response
1042aa, Tunnel block limit reached, Release Access Bearers Request
1042ab, Tunnel block limit reached, Release Access Bearers Response
1042ac, Tunnel block limit reached, For future use
1042b0, Tunnel block limit reached, Downlink Data Notification
1042b1, Tunnel block limit reached, Downlink Data Notification Acknowledge
1042b3, Tunnel block limit reached, PGW Restart Notification
1042b4, Tunnel block limit reached, PGW Restart Notification Acknowledge
1042b2, Tunnel block limit reached, Reserved. Allocated in earlier version of the specification.
1042b5, Tunnel block limit reached, For future use
1042c8, Tunnel block limit reached, Update PDN Connection Set Request
1042c9, Tunnel block limit reached, Update PDN Connection Set Response
1042ca, Tunnel block limit reached, For future use
1042d3, Tunnel block limit reached, Modify Access Bearers Request
1042d4, Tunnel block limit reached, Modify Access Bearers Response
1042d5, Tunnel block limit reached, For future use
1042e7, Tunnel block limit reached, MBMS Session Start Request
1042e8, Tunnel block limit reached, MBMS Session Start Response
1042e9, Tunnel block limit reached, MBMS Session Update Request
1042ea, Tunnel block limit reached, MBMS Session Update Response
1042eb, Tunnel block limit reached, MBMS Session Stop Request
1042ec, Tunnel block limit reached, MBMS Session Stop Response
1042ed, Tunnel block limit reached, For future use
1042f0, Tunnel block limit reached, Reserved for Sv interface (see also types 25 to 31)
1042f8, Tunnel block limit reached, For future use

**************************************************************************************************************
